id,name,content_type_id,codename
125,Can view Election Party Committee Result,57,view_electionpartycommitteeresult
126,Can add Election Party Candidate Sorting,58,add_electionpartycandidatesorting
127,Can change Election Party Candidate Sorting,58,change_electionpartycandidatesorting
128,Can delete Election Party Candidate Sorting,58,delete_electionpartycandidatesorting
129,Can view Election Party Candidate Sorting,58,view_electionpartycandidatesorting
130,Can View Election Sorting,58,canViewElectionSorting
131,Can Add Election Sorting,58,canAddElectionSorting
132,Can Change Election Sorting,58,canChangeElectionSorting
133,Can Delete Election Sorting,58,canDeleteElectionSorting
134,Can add Election Party Candidate Committee Result,59,add_electionpartycandidatecommitteeresult
135,Can change Election Party Candidate Committee Result,59,change_electionpartycandidatecommitteeresult
136,Can delete Election Party Candidate Committee Result,59,delete_electionpartycandidatecommitteeresult
137,Can view Election Party Candidate Committee Result,59,view_electionpartycandidatecommitteeresult
138,Can View Candidate,37,canViewCandidate
139,Can Add Candidate,37,canAddCandidate
140,Can Change Candidate,37,canChangeCandidate
141,Can Delete Candidate,37,canDeleteCandidate
142,Can View Voter,60,canViewVoter
143,Can Add Voter,60,canAddVoter
144,Can Change Voter,60,canChangeVoter
145,Can Delete Voter,60,canDeleteVoter
146,Can View Campaign Guarantee Group,61,canViewCampaignGuaranteeGroup
147,Can Add Campaign Guarantee Group,61,canAddCampaignGuaranteeGroup
148,Can Change Campaign Guarantee Group,61,canChangeCampaignGuaranteeGroup
149,Can Delete Campaign GuaranteeGroup,61,canDeleteCampaignGuaranteeGroup
150,Can View Campaign Committee,62,canViewCampaignCommittee
151,Can Add Campaign Committee,62,canAddCampaignCommittee
152,Can Change Campaign Committee,62,canChangeCampaignCommittee
153,Can Delete Campaign Committee,62,canDeleteCampaignCommittees
154,Can Delete Campaign Committee,62,canDeleteCampaignCommittee
155,Can View Campaign Committee Sorter,63,canViewCampaignCommitteeSorter
156,Can Add Campaign Committee Sorter,63,canAddCampaignCommitteeSorter
157,Can Change Campaign Committee Sorter,63,canChangeCampaignCommitteeSorter
158,Can Delete Campaign Committee Sorter,63,canDeleteCampaignCommitteeSorter
159,Can View Campaign Committee Attendee,64,canViewCampaignCommitteeAttendee
160,Can Add Campaign Committee Attendee,64,canAddCampaignCommitteeAttendee
161,Can Change Campaign Committee Attendee,64,canChangeCampaignCommitteeAttendee
162,Can Delete Campaign Committee Attendee,64,canDeleteCampaignCommitteeAttendee
163,Can View Setting,65,canViewSetting
164,Can Add Setting,65,canAddSetting
165,Can Change Setting,65,canChangeSetting
166,Can Delete Setting,65,canDeleteSetting
167,Can add area,66,add_area
168,Can change area,66,change_area
169,Can delete area,66,delete_area
170,Can view area,66,view_area
171,Can add committee,68,add_committee
172,Can change committee,68,change_committee
173,Can delete committee,68,delete_committee
174,Can view committee,68,view_committee
175,Can add Election Database,72,add_electiondatabase
176,Can change Election Database,72,change_electiondatabase
177,Can delete Election Database,72,delete_electiondatabase
178,Can view Election Database,72,view_electiondatabase
179,Can add committee,73,add_committee
180,Can change committee,73,change_committee
181,Can delete committee,73,delete_committee
182,Can view committee,73,view_committee
183,Can add sub committee,74,add_subcommittee
184,Can change sub committee,74,change_subcommittee
185,Can delete sub committee,74,delete_subcommittee
186,Can view sub committee,74,view_subcommittee
187,Can add elector,75,add_elector
188,Can change elector,75,change_elector
189,Can delete elector,75,delete_elector
190,Can view elector,75,view_elector
