id,school,committee_no,circle,table_1,gender,table_2,address,voter_count,committee_count,tag
41,مدرسة خباب بن الأرت الابتدائية للبنين,7,3,الجابرية,ذكور,,الجابرية ق 8 ش 103,7296,6,"{أمة 24, الدائرة 3, ذكور, الجابرية}"
42,مدرسة محمد عبد الله الوهيب المتوسطه للبنين,8,3,الجابرية,اناث,,الجابريه ق 6 ش 101,7663,8,"{أمة 24, الدائرة 3, اناث, الجابرية}"
43,مدرسة حمود برغش السعدون المتوسطه  للبنين,9,3,السرة,ذكور,,السره ق 3 ش  3,6560,5,"{أمة 24, الدائرة 3, ذكور, السرة}"
44,مدرسة لولوة ملا صالح الربيعة,10,3,السرة,اناث,,السره ق 5 ش 8,6929,6,"{أمة 24, الدائرة 3, اناث, السرة}"
45,ثانوية عبد الله العتيبي للبنين,11,3,الخالدية,ذكور,,الخالديه ق 2 ش العروبه,3362,3,"{أمة 24, الدائرة 3, ذكور, الخالدية}"
46,مدرسة سالم الحسينان المتوسطة للبنين,12,3,الخالدية,اناث,,الخالدية ق 3  ش أوراس,3729,4,"{أمة 24, الدائرة 3, اناث, الخالدية}"
47,مدرسة عبد العزيز ياسين الغربللي الابتدائية للبنين,13,3,قرطبة,ذكور,,قرطبة ق 3  ش البهاء زهير  ( 5 ),6044,4,"{أمة 24, الدائرة 3, ذكور, قرطبة}"
48,ثانوية قرطبه للبنات,14,3,قرطبة,اناث,,قرطبة ق 5  ش ابو ايوب الانصاري,6626,6,"{أمة 24, الدائرة 3, اناث, قرطبة}"
49,مدرسة بحرة الابتدائية للبنات,15,3,اليرموك,ذكور,,اليرموك ق 2 الشارع الثاني,4155,3,"{أمة 24, الدائرة 3, ذكور, اليرموك}"
50,مدرسة بدر السيد رجب الرفاعي,16,3,اليرموك,اناث,,اليرموك ق 3 ش ابوالفرج الاصفهاني,4514,4,"{أمة 24, الدائرة 3, اناث, اليرموك}"
51,ثانوية ابرق خيطان للبنات,17,3,أبرق خيطان,ذكور,خيطان الجديدة,خيطان ق 4 ش المخفر,3459,7,"{أمة 24, الدائرة 3, ذكور, أبرق خيطان}"
52,مدرسة ابرق خيطان المتوسطة للبنات,18,3,ابرق خيطان,اناث,خيطان الجديدة,خيطان  الجنوبي ق 4 ش 97,3741,6,"{أمة 24, الدائرة 3, اناث, ابرق خيطان}"
53,مدرسة قيس بن أبي العاص المتوسطه  للبنين,19,3,حطين,ذكور,السلام + الشهداء + الزهراء + الصديق,حطين ق 2 خلف محطة البنزين,9659,7,"{أمة 24, الدائرة 3, ذكور, حطين}"
54,ثانوية ناصر عبدالمحسن السعيد للبنين,20,3,حطين,اناث,السلام + الشهداء + الزهراء + الصديق,حطين  ق 2 ش 13,10177,8,"{أمة 24, الدائرة 3, اناث, حطين}"
55,ثانوية صلاح الدين الأيوبي للبنين,21,3,الزهراء,ذكور,,,10380,8,"{أمة 24, الدائرة 3, ذكور, الزهراء}"
56,ثانوية مارية القبطية للبنات,22,3,الزهراء,اناث,,,11235,8,"{أمة 24, الدائرة 3, اناث, الزهراء}"
57,مدرسة علي عبدالمحسن الصقلاوي الابتدائية  للبنين,1,4,الفروانية,ذكور,,الفروانيه ق 6 ش 9,2574,4,"{أمة 24, الدائرة 4, ذكور, الفروانية}"
58,مدرسة الفروانية المتوسطة للبنين,2,4,الفروانية,اناث,,الفروانيه ق 1 ش 122,2466,3,"{أمة 24, الدائرة 4, اناث, الفروانية}"
59,مدرسة ابراهيم مهنا المهنا المتوسطه للبنين,3,4,الفردوس,ذكور,,الفردوس ق 4  شارع ابراهيم بن الاغلب,9141,10,"{أمة 24, الدائرة 4, ذكور, الفردوس}"
60,مدرسة الوليد بن عبدالملك الابتدائية للبنين,4,4,الفردوس,اناث,,الفردوس ق 6 الشارع الاول,10409,11,"{أمة 24, الدائرة 4, اناث, الفردوس}"
61,مدرسة شملان بن علي المتوسطه للبنين,5,4,العمرية,ذكور,,العمرية ق 5 ش 106,2736,3,"{أمة 24, الدائرة 4, ذكور, العمرية}"
